Name,Value,Category,Date
Product Alpha,1500,Sales,2024-01-15
Marketing Campaign A,850,Marketing,2024-01-16
Web Development Project,2200,Development,2024-01-17
Customer Support Tool,650,Support,2024-01-18
HR Management System,1100,HR,2024-01-19
Product Beta,1750,Sales,2024-01-20
Social Media Campaign,920,Marketing,2024-01-21
Mobile App Development,2800,Development,2024-01-22
Ticket System Update,480,Support,2024-01-23
Employee Training Program,750,HR,2024-01-24
Product Gamma,1300,Sales,2024-01-25
Email Marketing,690,Marketing,2024-01-26
Database Optimization,1950,Development,2024-01-27
Live Chat Implementation,580,Support,2024-01-28
Performance Review System,890,HR,2024-01-29
E-commerce Platform,3200,Sales,2024-01-30
Content Marketing,720,Marketing,2024-01-31
API Development,2150,Development,2024-02-01
Knowledge Base,430,Support,2024-02-02
Payroll System,1250,HR,2024-02-03

